As-Constructed,,"A model consisting of documentation, non-graphical information and graphical information defining the delivered project.  'As-constructed' defines the defect and deviation to the designed model occurring during construction. The 'As-constructed' model and its appended documentation are continually updated through re-measurement as construction progresses. This allows for deviation to be reviewed with respect to the following packages and making knowledgeable assessment of impact and resolution",PAS 1192-2 Back
Aspect,,Concept by which the existence and appearance of a thing is experience and cannot exist without the existence of its possessor and which is either an intrinsic non-separable facet of its possessor or a role of its possessor,ISO 16354
Aspect (Scale Relation),,Relation that specifies that aspects of the specified kind can be quantified using the kind of scale R1 role player: aspect R2 role player: scale/R1 role: quantifiable R2 role: quantifying/R1-R2 expression: can be quantified on scale R2-R1 expression: can be a scale for a,ISO 16354
Aspect (Unit of measure Relation),,Relation that specifies that aspects of the specified kind shall be quantified using the particular unit of measure R1 role player: aspect R2 role player: unit of measure/R1 role: quantifiable R2: quantifying/R1-R2 expression: shall be quantified on unit R2-R1 expression: shall be a unit for a,ISO 16354
Assembly,,Group of components or types to enable the reuse of standardized design or specification elements improving productivity of design and delivery as well as providing a location to hold specifications and lessons learnt in a simple and useable way. The contents of assemblies may themselves have attributes and classifications.,"PAS 1192-2 Back, BS 1192-4"
Assessment Provider,,Entity undertaking prequalification of suppliers as a service to both buyers and suppliers,PAS 91
Asset,,"item, thing or entity that has potential or actual value to an organization","PAS 1192-3, BS 1192-4, PAS 1192-5, ISO 55000, BS 8536-1"
Asset Information,,"Data or information relating to the specification, design, construction or acquisition, operation and maintenance, and disposal or decommissioning of an item, thing or entity that has potential or actual value to an organization",PAS 1192-5
Asset Information Management,,Discipline of managing asset-related organizational data and information to a sufficient quality to support organizational objectives and outcomes,PAS 1192-3
Asset Information Model,AIM,"Maintained information model used to manage, maintain and operate the asset; required to support an organization's asset management system","PAS 1192-2 Front, PAS 1192-2 Back, PAS 1192-3"
Asset Information Model,AIM,information model (cl 3.3.9) relating to the operational phase,BS EN ISO 19650-1
Asset Information Requirements,AIR,Data and information requirements of the organization in relation to the asset(s) it is responsible for,PAS 1192-3
Asset Information Requirements,AIR,information requirements in relation to the operation of an asset.,BS EN ISO 19650-1
Asset Management,,Coordinated activity of an organization to realize value from assets,"PAS 1192-3, PAS 1192-5, ISO 55000, BS 8536-1"
Asset Management System,,Management system for asset management whose function is to establish the asset management policy and asset management objective,PAS 1192-3
Asset Owner,,"Individual or organization that owns the built asset and any associated asset information, is the asset operator or licensee, or is the operator of the system of which the built asset is a component",PAS 1192-5
Attribute,,characteristic assessed in terms of whether it does or does not meet a given performance,ISO 6707-1
Auditor,,Testing review body,BS 8541-6
Author,,"originator of Information Model; Graphical Model, Non Graphical Information and Documents.","PAS 1192-2 Front, PAS 1192-2 Back"
Baseline Security Measures,,Contractually required measures relating to personal and commercial information,PAS 1192-5
Basis for Design,,"information and data concerning the required function, form, layout, specification and operation of an asset/facility amongst other matters",BS 8536-1
BIM Guidance Document,,Document that aids users in achieving their intended results through the use of BIM,ISO 12911
BIM Software Application,,"A software application that is used to create, modify, analyze, manage, publish, share, or expire elements of a BIM",ISO/DIS 29481-1
BIM Viewer,,"Software used to view 3D rendition without requiring the user to have the software that produced the model (Navisworks, Navigator, Solibri, etc.; also eDrawing to view both 2D and 3D rendition)",PAS 1192-2 Back
Binary Relation,,"Relation that specifies a relationship between two things, each of which is playing its own role that is of a kind that is typical for the relation type",ISO 16354
Boolean Operators,,"Logical operators such as conjunction - (and) disjunction - (or), and negation - (not) used in solid modelling to combine primitive solids",ISO/DSI 16757-2
Brief,,"working document which specifies at any point in time the relevant needs and aims, resources of the client and user, the context of the project and any appropriate design requirements within which all subsequent briefing (when needed) and designing can take place",BS 8536-1
Briefing,,"process of identifying and analysing the needs, aims and constraints (the resources and the context) of the client and the relevant parties, and of formulating any resulting problems that the designer is required to solve","BS 8536-1, BS7832, ISO9699"
BSS Property,,Technical property that describes an aspect of the current state of a BSS,ISO/DSI 16757-1
Building Information Management,BIM(M),Sometimes Building Information Management but as BIM(M) Building Information and Management,PAS 1192-2 Back
Building Information Model,BIM,"Shared digital representation of physical and functional characteristics of any built object, including buildings, bridges, roads, process plant",ISO 12911
Building Information Modelling,BIM,"process of designing, constructing or operating a building or infrastructure asset using electronic object-oriented information","ISO 12911, ISO/DSI 16757-1, ISO/DIS 29481-1,  PAS 1192-2 Front, PAS 1192-2 Back, PAS 1192-5, BS8636-1"
Building Information Modelling Execution Plan,BEP,Plan prepared by the suppliers to explain how the information modelling aspects of a project will be carried out,"PAS 1192-2 Front, PAS 1192-2 Back"
Building Information Modelling (Pre-appointment),BEP,plan that explains how the information management aspects of the appointment will be carried out by the delivery team Note 1 to entry: The pre-appointment BIM execution plan focuses on the delivery team's proposed approach to information management and their capability and capacity to manage information.,BS EN ISO 19650-2
Building Information Modelling (Delivery Team's),BEP,plan that explains how the information management aspects of the appointment will be carried out by the delivery team,BS EN ISO 19650-2
Building Services,,"Utilities and installations supplied and distributed within a building such as electricity, gas, heating, water, and communications",ISO/DSI 16757-1
Building Services System,BSS,Technical system that provides building services in a building,ISO/DSI 16757-1
Built Asset,,"Building, multiple buildings (e.g. a site or campus) or built infrastructure (e.g. roads, railways, pipelines, dams, docks, etc.) that is the subject of a construction project or where the asset information is held in a digital format",PAS 1192-5
Built Asset Security Information Requirements,BASIR,"The BASIR shall detail the employer or asset owner's requirements with regard to the arrangements for, and overseeing of, the secure capture, handling, dissemination, storage, access and use of all data and information pertaining to sensitive assets and systems",PAS 1192-5
Built Asset Security Manager,,"Individual reporting directly to, or employed by, the employer or asset owner and undertaking the role of security management",PAS 1192-5
Built Environment,,collection of man-made or induced physical objects located in a particular area or region,ISO 6707-3
Built Space,,"Space defined by built or natural environment or both, intended for user activity or equipment",ISO 12006-2
Business Requirement,,A requirement that describes in business terms what needs to be delivered or accomplished,ISO/DIS 29481-1
Buyer,,Client or other entity procuring the services of supplier(s) contributing to the fulfilment of a construction related contract,PAS 91
CAD Standard,,"Standard used to produce CAD models that will include origins, units, layering conventions, line specifications, file-naming conventions, drawing numbering, etc.",PAS 1192-2 Back
CAD Viewer,,"Software used to view rendition print fi les without requiring the user to have the software that produced the model. (Adobe PDF, DWF, etc.)",PAS 1192-2 Back
Capital/delivery Phase,,"Major works where information is managed using PAS 1192-2:2013 and an asset is designed, procured and delivered",PAS 1192-3
Catalogue Metadata,,Data in the catalogue which contains data about the catalogue itself,ISO/DSI 16757-1
CDM Coordinator,,employee whose role is to 'advise and assist the client to comply with their duties under the Construction (Design and Management)] Regulations',BS7000-4
Characteristic,,abstraction of a property of one or more objects,ISO 6707-1
CIC Scope of Services,,Multi-disciplinary scope of services published by the Construction Industry Council (CIC) for use by members of the project team on major projects,"PAS 1192-2 Front, PAS 1192-2 Back"
Clash Rendition,CR,Rendition of the native format model file to be used specifically for spatial coordination processes. To achieve clash avoidance or to be used for clash detection,"PAS 1192-2 Front, PAS 1192-2 Back"
Class,,A type or collection of things that share common attributes,ISO/DIS 29481-1
Classification,,"Systematic arrangement of headings and sub-headings for aspects of construction work including the nature of assets, construction elements, systems and products","PAS 1192-2 Front, PAS 1192-2 Back"
Classification Relation,,"Relation that relates an individual thing to a kind of thing, indicating that the individual thing is of a specified kind, because of the fact that the individual thing has aspects that comply with the definition of the kind R1 role player: an individual thing R2 role player: concept/R1 role: classified R2 role: classifier/R1-R2 expression: is classified as a R2-R1 expression: is a classifier of",ISO 16354
Clause,,Subsection of a guidance document which contains an objective and one or more definitions and requirements,ISO 12911
Client,,person or organization initiating and financing a project and approving the brief,ISO 6707-1
Client,,Actor responsible for initiating a project and approving the brief.,BS EN ISO 19650-1
Clipping,,Operation applied to a geometric model to remove parts of the model beyond a defined boundary,ISO/DSI 16757-2
Code,,"Sequence of characters, often a mnemonic, having defined meaning when interpreted in the context of the field in which it is entered, used to concisely convey meta-data",BS 1192
Collection,,"Concept that indicates a plurality, consisting of a number of things without a particular structure between the elements and not necessarily with a common discriminator",ISO 16354
Collection of Concepts Relation,,Relation that specifies that a concept is an element of a collection of concepts R1 role player: concept R2 role player: collection/R1 role: collected R2 role: collector/R1-R2 expression: is an element in collection of concepts R2-R1 expression: is a collection of concepts including,ISO 16354
Commissioning,,"process by which equipment, a system, a facility or a plant that is installed, is completed or near completion is tested to verify if it functions according to its design specification and intended application","BS8636-1, ISO 50004"
Common Arrangement of Work Sections,CAWS,"Common Arrangement of Work Sections, published by CPIC for use in specifications and bills of quantities",PAS 1192-2 Back
Common Data Environment,CDE,"Single source of information for any given project, used to collect, manage and disseminate all relevant approved project documents for multi-disciplinary teams in a managed process","PAS 1192-2 Front, PAS 1192-2 Back, PAS 1192-3, PAS 1192-5, BS8636-1"
Common Data Environment,CDE,"agreed source of information for any given project or asset, for collecting, managing and disseminating each information container through a managed process.",BS EN ISO 19650-1
Common Data Environment (Project's),,The CDE that serves the overall requirements of the project and supports the collaborative production of information.,BS EN ISO 19650-2
Common Data Environment State,,"The state of the information containers, Work in Progress, Shared, Published or Archive state",BS EN ISO 19650-1
Common Data Environment Solution,,The CDE solution provides the technology to support the processes of CDE workflow. ,BS EN ISO 19650-1
Common Data Environment Workflow,,The CDE workflow describes the processes to be used for the function of the CDE solution,BS EN ISO 19650-1
Component,,"named and individually scheduled physical items and features that might require management, such as inspection, maintenance, servicing or replacement, during the in-use phase","PAS 1192-2 Back, BS 1192-4"
Composition Relation,,"Relation between two kinds of things that specifies that something that is classified by a concept that plays the role of whole can have one or more components that are classified by another concept that plays the role of part, in which the number of parts may be constrained by cardinality constraints R1 role player: concept R2 role player: concept/ R1 role: part R2 role: whole/R1-R2 expression: can be a part of a R2-R1 expression: can be a whole for a",ISO 16354
Computer Aided Design,CAD,,
Computer Aided Design and Draughting,CADD,,
Computer-aided Facility Management,CAFM,,
Concept,,(1) unit of knowledge created by a unique combination of aspects and/or components (adapted from ISO 1087-1) (2) commonality between individual things that is defined by one or more constraints that describe the limits for the inclusion of individual things to conform to the concept,ISO 16354
Concession,,Permission to use or release a product that does not conform to specific requirements or a concession against a contract requirement (gain permission for non-conformance),PAS 1192-2 Back
Concurrent Engineering,,"Systematic approach to the integrated, concurrent design of products and their related processes, including manufacture and support (based on IDA definition). In a construction context it incorporates, both early contractor and owner/operator involvement",PAS 1192-2 Back
Conventional Cartesian Axis,,"Geometric convention using positive co-ordinates (X, Y, Z) ordered as (East, North, upwards), so that conventional plans use X, Y; and Z is upwards",BS 1192
Configuration,,Interrelated functional and physical characteristics of a product defined in product configuration information,PAS 1192-2 Back
Configuration Item,,Entity within a configuration that satisfies an end use function,PAS 1192-2 Back
Configuration Management,,Co-ordinated activities to direct and control configuration,PAS 1192-2 Front
Configuration Status Accounting,,"Formalized recording and reporting of product configuration information, the status of proposed changes and the status of the implementation of approved changes",PAS 1192-2 Back
Conformity,,Fulfilment of a requirement,ISO 22263
Connection,,Named logical relationship between two Components,BS 1192-4
Consortium,,"Association of two or more entities (individuals, companies or organizations) pooling resources to participate in a common construction related project",PAS 91
Constraint,,"Relationship between two or more elements in a model, which should be maintained in any modifications made subsequent to a model transfer",ISO 12911
Constructed Facility,,"A unit of the built environment with a characteristic spatial form, intended to serve some function or support a user activity",ISO/DIS 29481-1
Construction,,"Building, civil engineering or other structural engineering work",PAS 91
Construction (Design and Management) regulations,CDM,Construction (Design and Management) regulations,PAS 1192-2 Back
Construction Activity,,Component process of construction process,ISO 12006-2
Construction Agent,,Human construction resource carrying out a construction process,ISO 12006-2
Construction Aid,,Construction resource intended to assist in carrying out a construction process,ISO 12006-2
Construction Complex,,Aggregate of one or more construction entities intended to serve at least one function or user activity,ISO 12006-2
Construction Element,,"Constituent of a construction entity with a characteristic function, form, or position",ISO 12006-2
Construction Entity,,"Independent unit of the built environment with a characteristic form and spatial structure, intended to serve at least one function or user activity",ISO 12006-2
Construction Indexing System for Construction Products,CI/SfB,The UK version of the Construction Indexing Classification System for Construction products and elements - a version of the SfB classification system originating from Sweden,PAS 1192-2 Back
Construction Information,,Information of interest in a construction process,ISO 12006-2
Construction Object,,Object of interest in the context of a construction process,ISO 12006-2
Construction Operation Building information exchange,COBie,Subset of BS ISO 16739 IFC documented as a buildingSMART model view definition (MVD) which includes operational information used to supply data to the organization to populate decision-making tools and asset management systems,"ISO 15686-4, PAS 1192-2 Front, PAS 1192-Back, PAS 1192-3, BS 1192-4"
Construction Organization,,"Group of individuals acting together in a structured, coordinated manner to achieve a common construction objective",PAS 91
Construction Process,,Process which uses construction resources to achieve construction results,"ISO 12006-2, ISO/DIS 29481-1"
Construction Process Lifecycle,,Sequence of stages from the start to the end of the construction process,ISO 12006-2
Construction Product,,Product intended to be used as a construction resource,ISO 12006-2
Construction Property,,Property of a construction object,ISO 12006-2
Construction Resource,,Construction object used in a construction process to achieve a construction result,ISO 12006-2
Construction Result,,Construction object which is formed or changed in state as the result of one or more construction processes using one or more construction resources,ISO 12006-2
Construction Result Lifecycle,,Period of time from inception to the demolition of a construction result,ISO 12006-2
Construction System,,Interacting construction objects organized to achieve one or more stated purposes,ISO 12006-2
Constructive Solid Geometry,CSG,Constructive solid geometry representation. A CSG object is composed from standard primitives using regularised Boolean operations and rigid motions,PAS 1192-2
Consultant,,Entity providing expert advice or other services in relation to a construction project e.g. a designer,PAS 91
Contact,,Named person and/or organization involved in the Facility lifecycle,BS 1192-4
Container,,"Named persistent set of data within a file system or application data storage hierarchy including, but not limited to, directory, sub-directory, data file, or distinct sub-set of a data file, such as a chapter or section, layers or symbol",BS 1192
Contractor,,Entity undertaking physical construction related activity at one or more construction sites in accordance with a formal arrangement made in advance,PAS 91
Convention,,"Accepted way of drawing an item which may have the nature of a representation, a simplified representation or a symbol",BS 8541-2
Coordinate (position),,"Named position associated to Facility, Floor (region), Space (location), Component or Assembly",BS 1192-4
Coordinate (process),,achieving complete agreement between the contents of an information model and the state of a physical asset,PAS 1192-3
Cyber Hygiene,,conditions and practices that serve to promote or preserve cyber safety and security by individual system users,PAS 1192-5
Cyber-physical Systems,CPS,"system designed as an entity, or set of entities, with a specific purpose, or to meet a capability objective",PAS 1192-5
Data,,Information stored but not yet interpreted or analyzed,"PAS 1192-2 Front, PAS 1192-3"
Data Environment,,Technologies (Data repositories) and their workflow for managing information. Generally those used by appointed parties,BRE DEFINITION
Data Manager,,organizational representative responsible for establishing governance and assuring data and information flow to and from the AIM ,PAS 1192-3
Data Store,,repository for data within the AIM,PAS 1192-3
Declaration Scheme,,"set of requirements for characterizing product or facility performance, prepared by an independent body other than the product manufacturer or supplier, and other than the purchaser or owner",BS 8541-6
Declarer,,"provider of the declaration, typically the manufacturer or supplier, but can be a library or scheme provider",BS 8541-6
Definition,,Representation of a concept by a descriptive statement which serves to differentiate it from related concepts,ISO 15686-4
Definition Relation,,Relation that specifies that a textual description is a description of something R1 role player: character string R2 role player: anything/R1 role: description R2 role: described/R1-R2 expression: is a description of R2-R1 expression: is described as,ISO 15686-4
Deliverable,,product or service as an outcome of a process,BS 8536-1
Delivery Team,,Lead appointed party and their appointed parties.,BS EN ISO 19650-1
Delivery team's capability and capacity,,the delivery team's capability to manage and produce information and its capacity for timely delivery of the information,BS EN ISO 19650-2
Delivery Team's Risk Register,,"risk register containing the risks associated with the timely delivery of information, in accordance with the appointing party's exchange information requirements, and how the delivery team intends to manage these risks.",BS EN ISO 19650-2
Delivery phase  ,,"part of the life cycle , during which an asset is designed, constructed and commissioned",BS EN ISO 19650-2
Descriptive Object,,Object giving descriptive and/or visual information about the product,ISO 15686-4
Design (File Format),DGN,"File extension for Bentley Systems, MicroStation and Intergraph's Interactive Graphics Design System CAD programs.",PAS 1192-2 Back
Design Intent Model,,Initial version of the Project Information Model developed by the design suppliers,"PAS 1192-2 Front, PAS 1192-2 Back"
Design Intent Model,,Use of the project information model to convey the design intent.,BS EN ISO 19650-1
Design Process,,Construction process determining construction properties for the built environment before it is made physical,ISO 12006-2
Design Review Protocol,,procedure for ensuring a structured and systematic review of a design at defined points in the project life cycle,BS 8536-1
Design Team,,"Sub-set of the project delivery team and/or task team that is involved in the delivery of the brief, concept, definition and design stages of the project",PAS 1192-5
Design Web Format,DWF,"Design web format. An open, secure file format developed by Autodesk for the distribution and communication of design data to view, review, or print design files",PAS 1192-2 Back
Digital Plan of Works,dPoW,"Generic schedule of phases, roles, responsibilities, assets and attributes, made available in a computable form","BS 1192-4, BS8636-1"
Dispositioning Authority,,Person or a group of persons assigned responsibility and authority to make decisions on the configuration,PAS 1192-2 Back
Document,,Container for persistent information that can be managed and interchanged as a unit,"PAS 1192-2 Front, PAS 1192-2 Back, BS 1192-4"
Document Exchange Format (File Format),DXF,File format used mainly for importing and exporting CAD data between AutoCAD and other CAD-related programs,PAS 1192-2 Back
Document Management System,DMS,Document management system,PAS 1192-2 Back
Document Repository,,"Entity including an electronic data management (EDM) system, project extranet or folder hierarchy on a Windows file server",PAS 1192-2 Back
Drawing,,Document used to present graphic information,"BS 1192, PAS 1192-2 Front, PAS 1192-2 Back"
Drawing (File Format),DWG,Proprietary AutoCAD file format,PAS 1192-2 Back
Drawing Title Block,,"Framework ? often containing the project team's logos ? to show the drawing title, number, purpose of issue status and revision information",PAS 1192-2 Back
Dynamic Property,,"Technical property, that reflects the product's behaviour under the operating conditions of the building services system in which the product is installed",ISO/DSI 16757-1
Earned Value Analysis,EVA,"A method of project performance measurement that integrates cost, time and scope",PAS 1192-2 Back
Electronic Document Management System,EDMS,"System for storing, retrieving, sharing and otherwise managing electronic documents","PAS 1192-2 Front, PAS 1192-2 Back"
Employer,,"person or organization intending to or entering into a contract with the contractor for the provision of goods, services, or engineering and construction works",ISO 10845-1
Employer's Information Requirements,EIR,"A document setting out the information requirements to be delivered, and the standards and processes to be adopted by the supplier as part of the project delivery process","PAS 1192-2 Front, PAS 1192-2 Back, BS 1192-4, BS8636-1"
Employer's Representative ,,The employer's representative (who may be the lead designer or the supplier),PAS1192-2
Employer's Representative ,,person authorized to represent the employer and named as such in the contract data or targeting data,ISO 10845-5
End-user,,person receiving asset/facility-related services,BS8636-1
Enterprise,,Entity constituting multiple organizations within the supply chain,PAS 1192-5
Entity,,Synonym for 'object',PAS 1192-2 Back
Exchange Information Requirements,EIR,information requirements in relation to an appointment.,BS EN ISO 19650-1
Exchange Requirement,ER,A defined set of information units that need to be exchanged to support a particular business requirement at a particular process phase (or phases) / stage (or stages),ISO/DIS 29481-1
Facility-related service,,"support provision to the primary processes and activities of an organization, delivered by an internal or external provider",BS8636-1
Facilities Management,FM,integration of processes within an organization to maintain and develop the agreed services that support and improve the effectiveness of its primary processes and activities,BS8636-1
Facility,,"Named distinct operational built or geographic asset, typically a building or section of infrastructure along with details and extent of the geographic site and of the temporal project","ISO 12911, BS 1192-4"
Facility Declaration,,"Data associated to a facility such as a constructed asset, building or structure, provided or verified by a distinct independent declaration scheme to support evaluation and comparisons",BS 8541-6
Facility Handbook,,organized collection of documentation covering the operation of an asset/facility,BS8636-1
Facility Management,,"All the services before, during, and after utilisation of real estate properties and infrastructure based on a holistic (integral) strategy",ISO/DSI 16757-1
Fact,,State of being the case,ISO 16354
Federation,,Creation of a composite information Model from separate information containers.,BS EN ISO 19650-1
Federation strategy  ,,The concept of volumes for sub-division of an information model is now described in terms of the reasons for which separate information models might need to be federated. This was an easier concept for non-UK countries to understand.  ,BS EN ISO 19650-1
Field,,Part of a container name reserved for meta-data,BS 1192
File Store,,Repository for information within the asset information model,PAS 1192-3
Floor (Region),,"Named intermediate spatial subdivision, including distinct vertical levels and horizontal areas and sections with Spaces allocated",BS 1192-4
Formula,,Algorithms and formulas for the calculation of computable product properties,ISO/DSI 16757-1
Framework,,Structure of processes and specifications designed to support the accomplishment of a specific task,ISO 12911
Function,,Algorithms and formulas for the calculation of computable product properties,ISO/DSI 16757-1
Gate,,"Division of a standardized process map for the acquisition of a facility, at some of which the requirements can be delivered","PAS 1192-2 Front, PAS 1192-2 Back"
Generic Object,,type object intended for use in stages of design when the object is not resolved into a product,"BS 8541-1, BS 8541-3, BS 8541-4"
Global Trade Item Number,GTIN,Identifier for trade items used to look up product information in a database GS1,ISO/DSI 16757-1
Globally Unique Identifier,GUID,Identifier given to a product that guarantees its uniqueness throughout its entire life,ISO 15686-4
Graphical Data,,Data conveyed using shape and arrangement in space,"PAS 1192-2 Front, PAS 1192-2 Back"
Graphical File,,File format designed specifically for representing graphical images,PAS 1192-2 Back
Handover,,The stage of a capital/delivery project where the asset is made available for use or occupation,PAS 1192-3
Hostile Reconnaissance,,"Activity of acquiring information about a target with the view to planning to attack, compromise, disrupt or destroy that target",
IDM Components,,"The basic elements that form an IDM: interaction maps / transaction maps, process maps and exchange requirements",ISO/DIS 29481-1
Impact,,"Representation of an economic, environmental or social dis-benefit of a product","ISO 15686-4, BS 1192-4"
Individual Thing,,Concept that classifies any real world or imaginary thing that has individuality that is not dependent on a commonality between things,ISO 16354
Information,,meaningful data,ISO 22263
Information Constraint,,"A statement that formally defines or constrains the scope of a piece of information due to some aspect of the business, a rule under which an organization operates or a policy or decision that influences a process",ISO/DIS 29481-1
information container,,"Named persistent set of information retrievable from within a file, system or application storage hierarchy. EXAMPLE - Including sub-directory, information file (including model, document, table, schedule), or distinct sub-set of an information file such as a chapter or section, layer or symbol.",BS EN ISO 19650-2
Information Delivery Manual,IDM,"Strategy for identifying the processes, exchange requirements, business rules and functional parts for information exchanges in facility projects","ISO 12911, ISO/DIS 29481-2"
Information Delivery Milestones,,scheduled event for a predefined information exchange,BS EN ISO 19650-2
Information Delivery Plan,,"A plan responding to the EIR that reflects the scope of the appointment within the asset life cycle. Includes the preparation of the Information Management Solution, the BEP (its included resources), the MIDP/TIDP, mobilization plan and potentially the LAP's EIR",BS EN ISO 19650-1
Information Device,,Convention indicating an abstract item,BS 8541-2
Information Exchange,,Structured collection of information at one of a number of pre-defined stages of a project with defined format and fidelity,"PAS 1192-2 Front, PAS 1192-2 Back"
Information Exchange,,act of satisfying an information requirement or part thereof (verb),BS EN ISO 19650-1
Information Management,,"Policies, processes, and tasks applied to inputting, processing and generation activities to ensure accuracy, authenticity, confidentiality and integrity of information","PAS 1192-2 Front, PAS 1192-2 Back, PAS 1192-5"
Information Management Process,IMP,Process to manage information related to the operational phase of an asset,PAS 1192-3
Information Manager,,"Organizational representative appointed by the employer or asset owner, who is responsible for establishing governance and assuring data and information flow to and from the common data environment (CDE) during the design, construction, operation and maintenance, and disposal or decommissioning of a built asset",PAS 1192-5
Information Management Solution,,A legally integrated supply chain framework of tools and resources that provide achievable planned delivery of information through defined information management processes.,BRE DEFINITION
Information Model,,Set of structured and unstructured information containers.,BS EN ISO 19650-1
Information Model,,"The information model comprises three constituent parts:  graphical information, non-graphical information and documentation,","PAS 1192-2 Front, PAS 1192-2 Back"
Information Modelling,,"Use of data to provide information through better understanding, by applying logic or mathematical functions to derive new data","PAS 1192-2 Front, PAS 1192-2 Back"
Information requirement,,"specification for what, when, how and for whom information (3.3.1) is to be produced",BS EN ISO 19650-1
Information Unit,,An individual information item such as a window identifier or a room depth,ISO/DIS 29481-1
Instance,,Occurrence of an entity at a particular location and orientation within a model,BS 1192
Interaction Framework,,"Formal description of the elements of interaction, including definition of roles, transactions, messages in transactions, and data elements in messages","ISO/DIS 29481-1, ISO/DIS 29481-2"
Interaction Framework Schema,,Formal description of the rules with which sent and received messages must comply,ISO/DIS 29481-2
International Alliance for Interoperability,IAI,International Alliance for Interoperability.  Now known as buildingSMART,PAS 1192-2 Back
Intrinsic Aspect,,Role that an aspect plays in a relationship and that is dependent on the aspect as well as on the possessing object,ISO 16354
Involvement Relation,,Relation between kinds of things that specifies that physical objects of a kind can play a role in an occurrence of a kind R1 role player: physical object R2 role player: occurrence/R1 role: involved R2: involver/R1-R2 expression: can be involved in R2-R1 expression: can involve a,ISO 16354
Issue,,Named deficiency in the information or risk associated to the assets,BS 1192-4
Job,,Named task or activity during the in-use phase associated to Types,BS 1192-4
key decision point,,"Point in time during the life cycle when a decision crucial to the direction or viability of the asset is made. Note 1 to entry During a project, these generally align with project stages",BS EN ISO 19650-1
Key Performance Indicator,KPI,measure that provides essential information about the performance of asset/facility-related services delivery,BS8636-1
Knowledge Library,,Collection of information models that express knowledge (which may include also definition models and requirements model(s) about kinds of things (concepts) and that are stored and retrieved as electronic information,ISO 16354
Knowledge Model,,Information model that expresses knowledge in a computer interpretable structure,ISO 16354
Language,,Coding system of spoken and/or written words and sentences (expressions and phrases) that is used to communicate between people or systems,ISO 16354
Layer,,Property given to entities within CAD files enabling their visibility and graphical representation to be controlled. Further values may be assigned to the attribute to enable control whether it can be edited or deleted,"BS 1192, PAS 1192-2 Back"
lead Appointed party,,"""lead appointed party"" which is an appointed party directly appointed by the appointing party.",PD ISO 19650-0
Lean,,Production focused on delivering value for the employer and eliminating all non-value-adding activities using an efficient workflow,"PAS 1192-2 Front, PAS 1192-2 Back"
Lean Principles,,"Understanding value from a client's perspective identifying the value stream, establish a balanced flow of work, in which the demand for product is pulled from the next customer, with a constant drive for continuous improvement and perfection (Based on 'Lean Thinking', Womack & Jones, 2003 edition)",PAS 1192-2 Back
Level of Attributing,,Categorization based on a minimum content of attributing information on a library Object,BS 8541-4
